ID	Name	ParentID	AmazonCategoryId
749	Health & Fitness	417	602340
750	History	417	602342
751	Home & Garden	417	602344
752	Lifestyle & Cultures	417	602348
753	Literary	417	602350
754	Men's Interest	417	602352
755	Music	417	602354
756	News & Politics	417	602358
757	Pets	417	602360
758	Religion & Spirituality	417	602362
759	Science & Nature	417	602364
760	Sports & Leisure	417	602366
761	Teens	417	602368
762	Travel & Regional	417	602370
763	Automotive	417	602316
764	Arts & Crafts	417	602314
765	Wine Cellars	418	3741521
766	Washers & Dryers	418	2383576011
767	Warming Drawers	418	2399955011
768	Wall Ovens	418	3741481
769	Refrigerators	418	3741361
770	Ranges	418	3741411
771	Range Hoods	418	3741441
772	Ice Makers	418	2399939011
773	Freezers	418	3741331
774	Dishwashers	418	3741271
775	Cooktops	418	3741261
776	Appliance Warranties	418	2242350011
777	Yearbooks	419	7515672011
778	Wedding Ceremony Accessories	419	2280760011
779	Watercraft	419	10368751
780	Vehicles	419	10368811
781	General	419	404542011
782	Erotic Magazines	419	7515671011
783	Electronics	419	2237066011
784	Collectibles	419	10368761
785	Collectible Stamps	419	10304221
786	Coins	419	10304201
787	Antiques	419	10304251
788	Aircraft	419	10368731
789	Ukuleles, Mandolins & Banjos	420	14733114011
790	Recording Equipment	420	11973111
791	Live Sound & Stage	420	405757011
792	Keyboards	420	11969981
793	Instrument Accessories	420	11965871
794	Guitars	420	11971241
795	Drums & Percussion	420	11970241
796	DJ, Electronic Music & Karaoke	420	11973881
797	Bass Guitars	420	11971311
798	Band & Orchestra	420	405758011
799	Office Supplies	421	1069242
800	Office Lighting	421	1068956
801	Office Furniture & Accessories	421	1069102
802	Office Electronics	421	172574
803	Mailroom Supplies	421	1068972
804	Educational Supplies	421	12899801
805	Business Presentation Supplies	421	1069254
806	Winter Holidays	422	2973129011
807	Wedding & Engagement	422	2973128011
808	Thank You & Appreciation	422	2973125011
809	Teens	422	2973101011
810	Restaurants	422	2973090011
811	New Year's	422	2973120011
812	Mother's Day	422	2973118011
813	Kids	422	2973100011
814	Graduation	422	2973114011
815	For Him	422	2973098011
816	For Her	422	2973099011
817	Father's Day	422	2973112011
818	Departments	422	2864120011
819	Christmas	422	2973107011
820	Birthday	422	2973106011
821	Baby & Expecting	422	2973104011
822	Wall Décor	423	3736081
823	Vacuums & Floor Care	423	510106
824	Storage & Organization	423	3610841
825	Seasonal Décor	423	13679381
826	Kitchen & Dining	423	284507
827	Kids' Home Store	423	3206325011
828	Irons & Steamers	423	510240
829	Home Décor	423	1063278
830	Heating, Cooling & Air Quality	423	3206324011
831	Furniture	423	1063306
832	Cleaning Supplies	423	10802561
833	Bedding	423	1063252
834	Bath	423	1063236
835	Snow Removal	424	3043471
836	Pools, Hot Tubs & Supplies	424	1272941011
